0|185|782|0|0|0|1880|720|1280
1|0|-1|0|0|0|1971|720|1280
0|185|782|0|0|0|3892|720|1280
1|0|-1|0|0|0|4013|720|1280
0|57|247|0|0|0|6724|720|1280
1|0|-1|0|0|0|6811|720|1280
0|361|360|0|0|0|12471|720|1280
1|0|-1|0|0|0|12831|720|1280
0|180|785|0|0|0|15869|720|1280
1|0|-1|0|0|0|16412|720|1280
0|361|360|0|0|0|18868|720|1280
1|0|-1|0|0|0|19425|720|1280
0|509|736|0|0|0|22124|720|1280
1|0|-1|0|0|0|22614|720|1280
0|361|360|0|0|0|24829|720|1280
1|0|-1|0|0|0|25358|720|1280
0|328|1148|0|0|0|27267|720|1280
1|0|-1|0|0|0|27662|720|1280
0|361|360|0|0|0|29845|720|1280
1|0|-1|0|0|0|30206|720|1280
0|328|1148|0|0|0|32223|720|1280
1|0|-1|0|0|0|32787|720|1280
0|365|752|0|0|0|36058|720|1280
1|0|-1|0|0|0|36139|720|1280
0|365|752|0|0|0|36463|720|1280
1|0|-1|0|0|0|36543|720|1280
0|354|880|0|0|0|44370|720|1280
1|0|-1|0|0|0|44441|720|1280
1|0|-1|0|0|0|48441|720|1280
1|0|-1|0|0|0|50441|720|1280
0|57|1245|0|0|0|52455|720|1280
1|57|1245|0|0|0|52460|720|1280
0|663|125|0|0|0|52924|720|1280
1|663|125|0|0|0|52929|720|1280
0|57|1245|0|0|0|53439|720|1280
1|57|1245|0|0|0|53444|720|1280
0|663|125|0|0|0|53941|720|1280
1|663|125|0|0|0|53946|720|1280
0|57|1245|0|0|0|54462|720|1280
1|57|1245|0|0|0|54467|720|1280
0|663|125|0|0|0|54954|720|1280
1|663|125|0|0|0|54959|720|1280
0|57|1245|0|0|0|55468|720|1280
1|57|1245|0|0|0|55473|720|1280
0|663|125|0|0|0|55968|720|1280
1|663|125|0|0|0|55972|720|1280
0|57|1245|0|0|0|56482|720|1280
1|57|1245|0|0|0|56487|720|1280
0|663|125|0|0|0|56983|720|1280
1|663|125|0|0|0|56988|720|1280
0|57|1245|0|0|0|57496|720|1280
1|57|1245|0|0|0|57501|720|1280
0|663|125|0|0|0|57997|720|1280
1|663|125|0|0|0|58002|720|1280
0|57|1245|0|0|0|58515|720|1280
1|57|1245|0|0|0|58520|720|1280
0|663|125|0|0|0|59009|720|1280
1|663|125|0|0|0|59014|720|1280
0|57|1245|0|0|0|59523|720|1280
1|57|1245|0|0|0|59528|720|1280
0|663|125|0|0|0|60029|720|1280
1|663|125|0|0|0|60034|720|1280
0|57|1245|0|0|0|60539|720|1280
1|57|1245|0|0|0|60544|720|1280
0|663|125|0|0|0|61037|720|1280
1|663|125|0|0|0|61042|720|1280
0|57|1245|0|0|0|61555|720|1280
1|57|1245|0|0|0|61560|720|1280
0|663|125|0|0|0|62051|720|1280
1|663|125|0|0|0|62056|720|1280
